Date,Day,DayName,MonthName,MonthNo,Year
2003-04-04 00:00:00,5,Friday,April,4,2003
2003-04-11 00:00:00,5,Friday,April,4,2003
2003-04-18 00:00:00,5,Friday,April,4,2003
2003-04-25 00:00:00,5,Friday,April,4,2003
2004-04-02 00:00:00,5,Friday,April,4,2004
2004-04-09 00:00:00,5,Friday,April,4,2004
2004-04-16 00:00:00,5,Friday,April,4,2004
2004-04-23 00:00:00,5,Friday,April,4,2004
2004-04-30 00:00:00,5,Friday,April,4,2004
2005-04-01 00:00:00,5,Friday,April,4,2005
2005-04-08 00:00:00,5,Friday,April,4,2005
2005-04-15 00:00:00,5,Friday,April,4,2005
2005-04-22 00:00:00,5,Friday,April,4,2005
2005-04-29 00:00:00,5,Friday,April,4,2005
2003-08-01 00:00:00,5,Friday,August,8,2003
2003-08-08 00:00:00,5,Friday,August,8,2003
2003-08-15 00:00:00,5,Friday,August,8,2003
2003-08-22 00:00:00,5,Friday,August,8,2003
2003-08-29 00:00:00,5,Friday,August,8,2003
2004-08-06 00:00:00,5,Friday,August,8,2004
2004-08-13 00:00:00,5,Friday,August,8,2004
2004-08-20 00:00:00,5,Friday,August,8,2004
2004-08-27 00:00:00,5,Friday,August,8,2004
2005-08-05 00:00:00,5,Friday,August,8,2005
2005-08-12 00:00:00,5,Friday,August,8,2005
2005-08-19 00:00:00,5,Friday,August,8,2005
2005-08-26 00:00:00,5,Friday,August,8,2005
2003-12-05 00:00:00,5,Friday,December,12,2003
2003-12-12 00:00:00,5,Friday,December,12,2003
2003-12-19 00:00:00,5,Friday,December,12,2003
2003-12-26 00:00:00,5,Friday,December,12,2003
2004-12-03 00:00:00,5,Friday,December,12,2004
2004-12-10 00:00:00,5,Friday,December,12,2004
2004-12-17 00:00:00,5,Friday,December,12,2004
2004-12-24 00:00:00,5,Friday,December,12,2004
2004-12-31 00:00:00,5,Friday,December,12,2004
2005-12-02 00:00:00,5,Friday,December,12,2005
2005-12-09 00:00:00,5,Friday,December,12,2005
2005-12-16 00:00:00,5,Friday,December,12,2005
2005-12-23 00:00:00,5,Friday,December,12,2005
2005-12-30 00:00:00,5,Friday,December,12,2005
2003-02-07 00:00:00,5,Friday,February,2,2003
2003-02-14 00:00:00,5,Friday,February,2,2003
2003-02-21 00:00:00,5,Friday,February,2,2003
2003-02-28 00:00:00,5,Friday,February,2,2003
2004-02-06 00:00:00,5,Friday,February,2,2004
2004-02-13 00:00:00,5,Friday,February,2,2004
2004-02-20 00:00:00,5,Friday,February,2,2004
2004-02-27 00:00:00,5,Friday,February,2,2004
2005-02-04 00:00:00,5,Friday,February,2,2005
2005-02-11 00:00:00,5,Friday,February,2,2005
2005-02-18 00:00:00,5,Friday,February,2,2005
2005-02-25 00:00:00,5,Friday,February,2,2005
2003-01-03 00:00:00,5,Friday,January,1,2003
2003-01-10 00:00:00,5,Friday,January,1,2003
2003-01-17 00:00:00,5,Friday,January,1,2003
2003-01-24 00:00:00,5,Friday,January,1,2003
2003-01-31 00:00:00,5,Friday,January,1,2003
2004-01-02 00:00:00,5,Friday,January,1,2004
2004-01-09 00:00:00,5,Friday,January,1,2004
2004-01-16 00:00:00,5,Friday,January,1,2004
2004-01-23 00:00:00,5,Friday,January,1,2004
2004-01-30 00:00:00,5,Friday,January,1,2004
2005-01-07 00:00:00,5,Friday,January,1,2005
2005-01-14 00:00:00,5,Friday,January,1,2005
2005-01-21 00:00:00,5,Friday,January,1,2005
2005-01-28 00:00:00,5,Friday,January,1,2005
2003-07-04 00:00:00,5,Friday,July,7,2003
2003-07-11 00:00:00,5,Friday,July,7,2003
2003-07-18 00:00:00,5,Friday,July,7,2003
2003-07-25 00:00:00,5,Friday,July,7,2003
2004-07-02 00:00:00,5,Friday,July,7,2004
2004-07-09 00:00:00,5,Friday,July,7,2004
2004-07-16 00:00:00,5,Friday,July,7,2004
2004-07-23 00:00:00,5,Friday,July,7,2004
2004-07-30 00:00:00,5,Friday,July,7,2004
2005-07-01 00:00:00,5,Friday,July,7,2005
2005-07-08 00:00:00,5,Friday,July,7,2005
2005-07-15 00:00:00,5,Friday,July,7,2005
2005-07-22 00:00:00,5,Friday,July,7,2005
2005-07-29 00:00:00,5,Friday,July,7,2005
2003-06-06 00:00:00,5,Friday,June,6,2003
2003-06-13 00:00:00,5,Friday,June,6,2003
2003-06-20 00:00:00,5,Friday,June,6,2003
2003-06-27 00:00:00,5,Friday,June,6,2003
2004-06-04 00:00:00,5,Friday,June,6,2004
2004-06-11 00:00:00,5,Friday,June,6,2004
2004-06-18 00:00:00,5,Friday,June,6,2004
2004-06-25 00:00:00,5,Friday,June,6,2004
2005-06-03 00:00:00,5,Friday,June,6,2005
2005-06-10 00:00:00,5,Friday,June,6,2005
2005-06-17 00:00:00,5,Friday,June,6,2005
2005-06-24 00:00:00,5,Friday,June,6,2005
2003-03-07 00:00:00,5,Friday,March,3,2003
2003-03-14 00:00:00,5,Friday,March,3,2003
2003-03-21 00:00:00,5,Friday,March,3,2003
2003-03-28 00:00:00,5,Friday,March,3,2003
2004-03-05 00:00:00,5,Friday,March,3,2004
2004-03-12 00:00:00,5,Friday,March,3,2004
2004-03-19 00:00:00,5,Friday,March,3,2004
2004-03-26 00:00:00,5,Friday,March,3,2004
2005-03-04 00:00:00,5,Friday,March,3,2005
2005-03-11 00:00:00,5,Friday,March,3,2005
2005-03-18 00:00:00,5,Friday,March,3,2005
2005-03-25 00:00:00,5,Friday,March,3,2005
2003-05-02 00:00:00,5,Friday,May,5,2003
2003-05-09 00:00:00,5,Friday,May,5,2003
2003-05-16 00:00:00,5,Friday,May,5,2003
2003-05-23 00:00:00,5,Friday,May,5,2003
2003-05-30 00:00:00,5,Friday,May,5,2003
2004-05-07 00:00:00,5,Friday,May,5,2004
2004-05-14 00:00:00,5,Friday,May,5,2004
2004-05-21 00:00:00,5,Friday,May,5,2004
2004-05-28 00:00:00,5,Friday,May,5,2004
2005-05-06 00:00:00,5,Friday,May,5,2005
2005-05-13 00:00:00,5,Friday,May,5,2005
2005-05-20 00:00:00,5,Friday,May,5,2005
2005-05-27 00:00:00,5,Friday,May,5,2005
2003-11-07 00:00:00,5,Friday,November,11,2003
2003-11-14 00:00:00,5,Friday,November,11,2003
2003-11-21 00:00:00,5,Friday,November,11,2003
2003-11-28 00:00:00,5,Friday,November,11,2003
2004-11-05 00:00:00,5,Friday,November,11,2004
2004-11-12 00:00:00,5,Friday,November,11,2004
2004-11-19 00:00:00,5,Friday,November,11,2004
2004-11-26 00:00:00,5,Friday,November,11,2004
2005-11-04 00:00:00,5,Friday,November,11,2005
2005-11-11 00:00:00,5,Friday,November,11,2005
2005-11-18 00:00:00,5,Friday,November,11,2005
2005-11-25 00:00:00,5,Friday,November,11,2005
2003-10-03 00:00:00,5,Friday,October,10,2003
2003-10-10 00:00:00,5,Friday,October,10,2003
2003-10-17 00:00:00,5,Friday,October,10,2003
2003-10-24 00:00:00,5,Friday,October,10,2003
2003-10-31 00:00:00,5,Friday,October,10,2003
2004-10-01 00:00:00,5,Friday,October,10,2004
2004-10-08 00:00:00,5,Friday,October,10,2004
2004-10-15 00:00:00,5,Friday,October,10,2004
2004-10-22 00:00:00,5,Friday,October,10,2004
2004-10-29 00:00:00,5,Friday,October,10,2004
2005-10-07 00:00:00,5,Friday,October,10,2005
2005-10-14 00:00:00,5,Friday,October,10,2005
2005-10-21 00:00:00,5,Friday,October,10,2005
2005-10-28 00:00:00,5,Friday,October,10,2005
2003-09-05 00:00:00,5,Friday,September,9,2003
2003-09-12 00:00:00,5,Friday,September,9,2003
2003-09-19 00:00:00,5,Friday,September,9,2003
2003-09-26 00:00:00,5,Friday,September,9,2003
2004-09-03 00:00:00,5,Friday,September,9,2004
2004-09-10 00:00:00,5,Friday,September,9,2004
2004-09-17 00:00:00,5,Friday,September,9,2004
